symbol,date,open,high,low,close,volume
GXH.NZ,2024-01-29,1.16,1.24,1.16,1.22,40358
GXH.NZ,2024-01-30,1.23,1.23,1.21,1.23,4507
GXH.NZ,2024-01-31,1.21,1.21,1.2,1.2,2685
GXH.NZ,2024-02-01,1.21,1.21,1.21,1.21,934
GXH.NZ,2024-02-02,1.23,1.29,1.23,1.29,34493
GXH.NZ,2024-02-05,1.3,1.3,1.29,1.29,7697
GXH.NZ,2024-02-07,1.27,1.27,1.2,1.2,3553
GXH.NZ,2024-02-08,1.18,1.18,1.17,1.18,3660
GXH.NZ,2024-02-09,1.21,1.23,1.21,1.23,9972
GXH.NZ,2024-02-12,1.26,1.26,1.26,1.26,4802
GXH.NZ,2024-02-13,1.22,1.25,1.22,1.25,3747
GXH.NZ,2024-02-14,1.29,1.29,1.26,1.26,25632
GXH.NZ,2024-02-15,1.25,1.27,1.22,1.27,6208
GXH.NZ,2024-02-16,1.28,1.28,1.24,1.24,17197
GXH.NZ,2024-02-19,1.24,1.24,1.19,1.19,8142
GXH.NZ,2024-02-20,1.22,1.22,1.19,1.19,2030
GXH.NZ,2024-02-21,1.22,1.22,1.17,1.17,3194
GXH.NZ,2024-02-22,1.17,1.17,1.15,1.15,8654
GXH.NZ,2024-02-23,1.13,1.13,1.1,1.1,10938
GXH.NZ,2024-02-26,1.09,1.09,1.02,1.02,33465
GXH.NZ,2024-02-27,1.01,1.05,1.01,1.05,50968
GXH.NZ,2024-02-28,1.06,1.11,1.06,1.11,5154
GXH.NZ,2024-02-29,1.1,1.1,1.09,1.1,2817
GXH.NZ,2024-03-01,1.09,1.12,1.09,1.12,20329
GXH.NZ,2024-03-04,1.14,1.14,1.13,1.14,22996
GXH.NZ,2024-03-05,1.14,1.14,1.08,1.09,4969
GXH.NZ,2024-03-06,1.09,1.1,1.09,1.1,814
GXH.NZ,2024-03-07,1.1,1.12,1.1,1.12,2311
GXH.NZ,2024-03-08,1.12,1.13,1.1,1.1,7452
GXH.NZ,2024-03-11,1.09,1.09,1.08,1.08,3138
GXH.NZ,2024-03-12,1.09,1.1,1.08,1.1,2496
GXH.NZ,2024-03-13,1.1,1.1,1.09,1.1,3647
GXH.NZ,2024-03-14,1.08,1.1,1.05,1.05,17213
GXH.NZ,2024-03-15,1.05,1.06,1.05,1.05,5330
GXH.NZ,2024-03-18,1.06,1.08,1.06,1.08,6114
GXH.NZ,2024-03-19,1.06,1.08,1.06,1.06,3185
GXH.NZ,2024-03-20,1.08,1.08,1.06,1.08,2205
GXH.NZ,2024-03-21,1.08,1.08,1.04,1.04,32145
GXH.NZ,2024-03-22,1.01,1.07,1.01,1.07,16942
GXH.NZ,2024-03-25,1.07,1.08,1.04,1.04,16506
GXH.NZ,2024-03-26,1.04,1.04,1.02,1.04,6556
GXH.NZ,2024-03-27,1.04,1.04,1.02,1.02,4116
GXH.NZ,2024-03-28,1.02,1.03,1.01,1.02,16905
GXH.NZ,2024-04-02,1.04,1.04,1.01,1.01,36581
GXH.NZ,2024-04-03,1,1.02,1,1,18102
GXH.NZ,2024-04-04,1.02,1.02,1.02,1.02,3985
GXH.NZ,2024-04-05,1.03,1.03,1.02,1.02,3942
GXH.NZ,2024-04-08,1.03,1.04,1.03,1.04,13042
GXH.NZ,2024-04-09,1.04,1.04,1.02,1.02,5491
GXH.NZ,2024-04-10,1.02,1.02,1.02,1.02,6207
GXH.NZ,2024-04-11,1.02,1.03,1.02,1.03,2709
GXH.NZ,2024-04-12,1.03,1.03,1.02,1.02,10734
GXH.NZ,2024-04-15,1,1.01,1,1,29743
GXH.NZ,2024-04-16,1.03,1.03,1.01,1.03,8915
GXH.NZ,2024-04-17,1.04,1.04,1.04,1.04,3364
GXH.NZ,2024-04-18,1.02,1.04,1.02,1.04,5728
GXH.NZ,2024-04-19,1.01,1.02,1.01,1.02,3217
